Audience & Income;;;;;;;;;;;;;
Structures →;Actionable;Motivational;Analytical;Contrarian;Observation;X vs. Y;Present / Future;Listicle;Personal Story;Lessons Learned;Common Mistakes;Upcoming Week;Highs/Lows
Description:;"How can people do something, step-by-step?";"Inspire people to take action through a story or anecdote.
";"Do a tear down of a company, person, content style, etc.";Something you feel differently about vs. the status quo.;What's something you've observed that you can talk about?;Compare two situations for an interesting takeaway;How things work today vs. how you think in the future?;"A list of things (top books, people, podcasts, etc.) PLEASE USE SPARINGLY.";Write a story about something that happened this week;"Share a mistake you made; what you learned from it, and how others can avoid the same pitfall.";List common errors you see people making in your industry and offer advice on avoiding them.;What are you working on this week?;What went well and what went poorly. Usually good for a friday.
Assets;;;;;;;;;;;;;
Automation;;;;;;;;;;;;;
Autononomy;;;;;;;;;;;;;
Brand;;;;;;;;;;;;;
Building;;;;;;;;;;;;;
Community;;;;;;;;;;;;;
Confidence;;;;;;;;;;;;;
Consequences;;;;;;;;;;;;;
Consistency;;;;;;;;;;;;;
Criticism;;;;;;;;;;;;;
Digital products;;;;;;;;;;;;;
Doubt;;;;;;;;;;;;;
Ego;;;;;;;;;;;;;
Entrepreneurship;;;;;;;;;;;;;
Execution;;;;;;;;;;;;;
Helping others;;;;;;;;;;;;;
Leverage;;;;;;;;;;;;;
Long game;;;;;;;;;;;;;
Momentum;;;;;;;;;;;;;
Money;;;;;;;;;;;;;
Networking;;;;;;;;;;;;;
Opportunity;;;;;;;;;;;;;
Productivity;;;;;;;;;;;;;
Promotion;;;;;;;;;;;;;
Publishing;;;;;;;;;;;;;
Responsibility;;;;;;;;;;;;;
Risk;;;;;;;;;;;;;
Sales;;;;;;;;;;;;;
Self-promotion;;;;;;;;;;;;;
Sharing;;;;;;;;;;;;;
Social Media;;;;;;;;;;;;;
Solopreneurship;;;;;;;;;;;;;
Success;;;;;;;;;;;;;
Systems;;;;;;;;;;;;;
Thinking;;;;;;;;;;;;;
Time;;;;;;;;;;;;;
Work Ethic;;;;;;;;;;;;;
Writing;;;;;;;;;;;;;
